,champion,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,item0,item1,item2,item3,item4,item5,item6,perk0,perk1,perk2,perk3,perk4,perk5,statPerk0,statPerk1,statPerk2,championName
8005,875,12,4,True,2,4,4,77358,1055,6630,3047,1036,0,3076,3340,8010,9111,9104,8299,8473,8453,5008,5008,5002,Sett
8006,876,4,11,True,1,4,10,96080,6653,3158,3191,2420,1052,0,3364,8124,8126,8138,8134,8234,8232,5008,5008,5002,Lillia
8007,4,3,4,True,2,4,12,70564,2033,3802,3157,3067,2015,3158,3340,8360,8313,8316,8352,8473,8451,5005,5008,5003,TwistedFate
8008,145,4,7,True,21,3,3,147305,1055,6672,3006,3046,3031,3036,3340,9923,8139,8138,8135,8304,8345,5005,5008,5002,Kaisa
8009,111,3,4,True,2,5,15,14498,3047,3190,3076,1011,3859,1028,3364,8439,8401,8473,8451,8345,8347,5007,5002,5003,Nautilus
8010,77,4,11,False,4,4,1,77964,3111,1028,3078,1031,3066,3123,3340,8005,9111,9104,8014,8234,8237,5005,5008,5002,Udyr
8011,10,4,12,False,0,6,3,48898,1056,6672,3006,0,0,0,3340,8005,9101,9104,8014,8473,8451,5005,5008,5003,Kayle
8012,55,14,12,False,4,8,2,77766,3152,3115,0,0,3020,2055,3364,8010,9111,9105,8017,8143,8135,5005,5008,5002,Katarina
8013,119,4,7,False,3,6,2,118759,1055,3508,6693,3134,3006,0,3340,8128,8143,8138,8135,8233,8236,5005,5008,5003,Draven
8014,350,3,14,False,1,4,4,4707,3853,6617,4642,0,3916,0,3364,8214,8226,8210,8237,8009,8017,5008,5008,5003,Yuumi
8015,114,4,12,True,6,1,2,94728,3123,6630,3133,3074,3047,1055,3340,8010,9111,9104,8299,8444,8242,5005,5008,5003,Fiora
8016,64,4,11,True,8,2,11,134524,3053,6630,2055,3047,3133,0,3340,8010,9111,9104,8014,8304,8347,5005,5008,5002,LeeSin
8017,3,14,4,True,10,1,7,107240,3152,3157,3041,3020,1056,0,3340,8439,8401,8473,8451,8275,8210,5008,5008,5003,Galio
8018,63,4,14,True,3,3,12,55072,1056,6653,1026,1082,3020,3916,3364,8128,8139,8138,8135,8226,8237,5008,5008,5002,Brand
8019,267,4,3,True,1,5,14,13156,4005,0,3853,3158,0,0,3364,8112,8126,8138,8105,8009,8014,5008,5008,5002,Nami
8020,86,4,14,True,14,6,5,242153,3742,3006,3078,3033,3181,3053,3340,8010,9111,9105,8299,8429,8451,5008,5008,5002,Garen
8021,141,11,4,True,5,10,12,205609,6693,3158,3142,2031,3042,3155,3364,8124,8143,8136,8134,8321,8347,5005,5008,5002,Kayn
8022,360,4,7,True,4,8,13,95640,1055,6673,3047,3091,3123,1036,3363,8010,8009,9103,8014,8473,8453,5005,5008,5002,Samira
8023,119,4,3,True,15,8,5,267148,3036,6673,6676,3031,3139,3006,3363,8010,8009,9104,8014,8233,8236,5005,5008,5002,Draven
8024,103,4,14,True,1,7,16,51442,3853,6655,3067,3020,3165,3108,3364,8112,8126,8138,8105,8226,8237,5008,5008,5003,Ahri
8025,19,4,14,False,7,9,7,130649,3047,3157,6631,3075,3100,0,3340,8112,8143,8138,8134,8009,8299,5005,5008,5002,Warwick
8026,28,4,11,False,11,6,8,188754,3020,3100,3152,3041,3135,1058,3364,8112,8143,8138,8105,8233,8236,5008,5008,5002,Evelynn
8027,104,4,14,False,12,6,8,252237,3142,6692,6676,3036,3047,3031,3340,8021,9111,9104,8014,8345,8304,5005,5008,5002,Graves
8028,50,3,4,False,6,10,7,140807,4643,3157,3020,6653,4637,1052,3363,8010,8009,9105,8014,8126,8106,5005,5008,5002,Swain
8029,48,14,4,False,2,8,17,21446,3857,3801,3190,3075,3067,3047,3364,8465,8463,8444,8242,8126,8105,5005,5002,5002,Trundle
8030,42,12,4,False,8,9,8,190212,1038,3031,1053,3508,3020,6673,3363,8008,8009,9103,8299,8304,8345,5005,5008,5001,Corki
8031,35,11,14,False,4,11,8,127035,4630,0,2420,6655,4629,3158,3364,8124,8126,8138,8134,8321,8347,5007,5008,5003,Shaco
8032,777,4,12,False,6,13,5,144382,3031,1011,6673,3006,3086,1057,3363,8010,9111,9104,8299,8451,8444,5005,5008,5001,Yone
8033,202,4,3,False,9,6,8,133425,6671,3009,6676,3031,3086,0,3363,8021,8009,9103,8014,8345,8352,5008,5008,5002,Jhin
8034,89,14,4,False,1,8,13,22889,3860,3190,3117,3067,1011,2055,3364,8439,8463,8473,8451,8345,8347,5007,5002,5001,Leona
8035,74,14,4,True,13,7,8,116249,3165,3041,3089,3152,3020,4630,3340,8112,8139,8138,8106,8233,8236,5008,5008,5002,Heimerdinger
8036,28,4,11,True,19,3,10,190102,3102,3152,3135,1082,3089,3020,3363,8112,8143,8138,8105,8233,8236,5008,5008,5002,Evelynn
8037,18,4,7,True,10,6,14,154734,3006,1053,1055,3046,3031,6672,3340,8005,9111,9104,8014,8473,8451,5005,5008,5002,Tristana
8038,236,1,4,True,5,5,9,132228,6673,1055,3508,3047,1037,1018,3363,8005,8009,9103,8014,8304,8345,5005,5008,5002,Lucian
8039,111,14,4,True,0,7,19,44880,3190,1033,0,3860,3075,3117,3364,8439,8401,8473,8242,8345,8347,5008,5008,5002,Nautilus
8040,875,12,4,True,3,4,7,95422,1055,3053,6630,3047,3076,1028,3340,8010,9111,9104,8299,8242,8444,5005,5008,5002,Sett
8041,234,4,11,True,13,2,8,132877,3047,6673,6333,3051,1057,0,3364,8005,9111,9105,8299,8304,8347,5005,5008,5002,Viego
8042,236,4,14,True,15,5,7,133232,3047,6671,1038,3123,3094,3508,3363,8005,8009,9103,8014,8304,8345,5005,5008,5003,Lucian
8043,50,3,4,True,3,3,16,49468,0,3157,6653,1056,3020,0,3340,8112,8126,8120,8134,8345,8313,5008,5008,5002,Swain
8044,117,4,14,True,3,3,25,13108,3158,3853,3011,1082,4005,1052,3364,8214,8275,8210,8236,8345,8352,5005,5008,5002,Lulu
8045,114,4,12,False,0,8,5,75233,6630,2055,3047,1055,1053,0,3340,8010,9111,9104,8299,8242,8473,5005,5008,5002,Fiora
8046,104,11,4,False,9,5,2,154576,3142,3047,3036,6673,0,0,3364,8021,9111,9104,8017,8321,8304,5005,5008,5002,Graves
8047,517,12,4,False,3,9,7,91795,3158,3157,3916,6656,0,1082,3340,8010,8009,9105,8299,8345,8347,5008,5008,5003,Sylas
8048,267,3,4,False,1,7,9,22655,4005,3158,1082,3916,3853,1052,3364,8214,8226,8210,8236,8345,8347,5007,5008,5002,Nami
8049,81,4,7,False,4,8,4,67388,6632,0,3042,3158,0,0,3363,8214,8226,8210,8236,8139,8134,5005,5008,5002,Ezreal
8050,164,4,12,True,6,7,9,85381,3158,6632,3748,0,1054,0,3364,8437,8401,8444,8242,8345,8410,5005,5008,5002,Camille
8051,421,11,4,True,3,4,9,127875,6692,2031,3053,3047,3076,1028,3364,8010,9111,9104,8014,8304,8347,5005,5008,5002,RekSai
8052,875,12,4,True,14,1,5,104716,1054,3748,6630,3111,6333,1028,3340,8010,9111,9105,8299,8242,8444,5005,5008,5003,Sett
8053,50,4,7,True,15,4,13,105096,3157,6653,3165,3020,3041,1056,3363,8112,8126,8138,8106,8009,9105,5005,5008,5002,Swain
8054,57,14,4,True,2,4,11,36373,3860,1026,3158,4005,1011,2055,3364,8439,8463,8429,8453,8226,8210,5008,5002,5001,Maokai
8055,67,6,4,False,4,6,6,75056,3124,1042,6673,3006,2055,1042,3363,8005,9111,9104,8014,8275,8234,5005,5008,5002,Vayne
8056,59,11,4,False,7,7,7,119918,3748,3047,6632,1028,2424,0,3364,8437,8463,8429,8242,8347,8313,5005,5008,5002,JarvanIV
8057,711,4,14,False,5,7,3,87844,6656,2033,3157,0,0,3158,3363,8230,8226,8210,8237,8345,8352,5005,5008,5003,Vex
8058,21,4,3,False,3,9,7,94925,3042,3142,3134,1036,3158,0,3363,8229,8226,8233,8236,8304,8410,5008,5008,5003,MissFortune
8059,89,14,4,False,1,11,6,13894,3190,3860,2055,3117,1029,1029,3364,8439,8463,8444,8242,8306,8345,5007,5003,5001,Leona
8060,240,12,4,False,2,6,3,73846,1055,8001,3068,3047,0,0,3340,8437,8446,8444,8242,9111,8299,5008,5008,5002,Kled
8061,91,11,4,False,4,9,6,116105,6630,3047,3156,3133,1036,0,3364,8010,9111,9105,8299,8347,8304,5005,5008,5002,Talon
8062,27,12,4,False,4,10,6,70606,3047,2031,3116,1082,4635,1026,3364,8124,8126,8138,8105,8234,8232,5008,5008,5002,Singed
8063,21,4,1,False,3,11,2,73249,6692,3142,1001,0,0,0,3340,8005,8009,9103,8014,8226,8236,5005,5002,5003,MissFortune
8064,412,4,14,False,2,12,7,20621,2065,3009,3855,2055,3067,3114,3364,8124,8126,8136,8134,8345,8347,5005,5003,5003,Thresh
8065,104,4,12,True,5,2,5,101973,1055,3036,6673,3047,1053,0,3363,8021,9101,9103,8299,8304,8345,5005,5008,5002,Graves
8066,120,11,6,True,14,5,15,159562,2420,3143,3158,3053,6632,0,3364,8124,8143,8138,8134,8234,8232,5005,5008,5002,Hecarim
8067,238,14,4,True,15,4,4,113756,3158,1028,3142,6691,6694,3134,3364,8010,9111,9104,8299,8210,8236,5008,5008,5003,Zed
8068,45,7,4,True,6,3,17,96223,3089,6656,3020,2031,3041,0,3363,8124,8126,8138,8135,8304,8345,5008,5008,5003,Veigar
8069,99,4,3,True,8,1,11,60677,3853,3020,4630,1082,4628,6655,3364,8128,8126,8138,8106,8009,8017,5007,5008,5002,Lux
8070,30,3,12,False,14,10,3,161258,3157,6653,3089,3135,1026,3020,3363,8128,8126,8138,8106,9111,8299,5008,5008,5002,Karthus
8071,91,14,11,False,3,3,10,165677,3142,3133,1036,3158,1028,6692,3364,8010,9111,9105,8299,8304,8347,5008,5008,5002,Talon
8072,777,4,12,False,6,9,3,130582,1054,6333,6673,3006,3033,0,3340,8021,9111,9104,8299,8242,8444,5005,5008,5003,Yone
8073,157,4,3,False,7,11,4,136372,2421,6673,6333,3086,1055,3006,3363,8010,9111,9104,8299,8473,8242,5005,5008,5002,Yasuo
8074,497,4,14,False,0,8,15,18017,3117,2065,1052,3860,3024,3067,3364,8124,8126,8120,8134,8234,8275,5007,5003,5002,Rakan
8075,875,12,4,True,6,7,8,93268,3076,6630,2055,3053,1011,3111,3363,9923,8139,8138,8135,8444,8453,5005,5008,5002,Sett
8076,203,4,11,True,4,9,8,123881,0,2421,6676,3006,0,6672,3364,8005,9111,9104,8014,8143,8105,5005,5008,5002,Kindred
8077,117,4,14,True,10,5,15,95180,4629,6655,3157,3158,1056,1082,3340,8112,8126,8138,8105,8014,9104,5008,5008,5002,Lulu
8078,18,3,4,True,21,4,7,221314,6672,3072,3006,3046,3031,3026,3363,9923,8139,8138,8135,8321,8304,5005,5008,5002,Tristana
8079,89,4,14,True,0,5,16,22526,0,3190,3860,3047,3076,1011,3364,8439,8463,8473,8242,8347,8306,5007,5003,5002,Leona
8080,24,12,4,True,1,3,5,68066,6632,3047,2033,1028,0,0,3340,8010,9111,9104,8299,8345,8352,5005,5008,5002,Jax
8081,120,11,6,True,7,2,9,147434,1033,3053,3082,6632,3158,0,3364,8010,9111,9105,8299,8429,8453,5005,5008,5001,Hecarim
8082,13,12,4,True,8,1,4,136226,6656,2421,1058,3040,3111,1058,3363,8230,8226,8210,8237,8345,8352,5005,5008,5003,Ryze
8083,202,3,4,True,18,2,6,156420,6676,3094,1055,6671,1037,3009,3363,8128,8139,8138,8135,8009,9103,5008,5008,5002,Jhin
8084,412,14,4,True,0,3,18,15948,3857,2031,2055,3190,3009,3067,3364,8439,8463,8473,8242,8352,8345,5005,5002,5002,Thresh
8085,164,12,14,False,2,2,3,64984,6632,1053,3133,2422,1055,0,3340,8437,8401,8473,8242,8345,8304,5005,5008,5002,Camille
8086,245,4,11,False,4,8,1,77924,1026,3152,1082,1042,3020,1042,3340,8112,8143,8138,8135,8236,8233,5005,5008,5002,Ekko
8087,142,4,14,False,2,8,2,68307,6655,2033,3145,0,3020,1082,3363,8112,8139,8138,8105,8345,8352,5005,5008,5003,Zoe
8088,119,7,4,False,3,8,2,58811,1055,1018,3134,6673,1001,1037,3363,9923,8139,8138,8135,8009,9103,5005,5008,5002,Draven
8089,111,4,14,False,0,8,5,18558,3105,3047,3860,0,3067,0,3364,8124,8126,8136,8105,8345,8347,5008,5003,5002,Nautilus
8090,164,3,12,False,6,11,4,84993,6632,2421,3181,6333,0,3047,3340,8437,8401,8444,8242,8345,8304,5008,5008,5002,Camille
8091,9,4,11,False,10,9,3,122149,3157,3152,3102,3020,1082,0,3330,8112,8126,8138,8106,8313,8347,5008,5008,5002,Fiddlesticks
8092,27,12,6,False,0,6,10,85403,3047,3116,1011,1082,1052,1026,3364,8124,8126,8138,8134,8234,8232,5008,5008,5003,Singed
8093,236,14,4,False,5,8,1,115265,3508,6671,2031,3086,3006,2015,3363,8005,8009,9103,8017,8345,8347,5005,5008,5002,Lucian
8094,350,3,7,False,0,5,7,12615,2055,3011,3853,0,6617,0,3364,8214,8226,8233,8237,8009,8017,5008,5008,5002,Yuumi
8095,74,14,4,True,12,8,8,116715,3916,3089,1082,3152,3135,3020,3340,8112,8139,8138,8106,8233,8236,5008,5008,5002,Heimerdinger
8096,64,11,4,True,7,3,14,153991,2055,6630,3053,3111,1028,3123,3340,8010,9111,9105,8299,8304,8347,5005,5008,5003,LeeSin
8097,23,6,4,True,8,2,4,209430,6672,6675,3031,3046,3006,1036,3340,8008,9111,9103,8299,8429,8242,5005,5008,5003,Tryndamere
8098,202,4,3,True,9,3,11,114483,3036,3009,1037,1018,0,6671,3363,8021,8009,9103,8017,8345,8347,5008,5008,5002,Jhin
